"コード","銘柄名","市場","現在値","前日比(%)","株価(円)","時価総額(百万円)"
"3405","クラレ","東P","1891.0","-18.0(-0.94%)","1,891.0","614,317"
"3407","旭化成","東P","1012.0","-11.0(-1.08%)","1,012.0","1,410,659"
"3415","ＴＯＫＹＯ　ＢＡＳＥ","東P","333","+0.0(+0.00%)","333.0","14,339"
"3431","宮地エンジニアリンググループ","東P","1826","-23.0(-1.24%)","1,826.0","50,540"
"3433","トーカロ","東P","1784","-18.0(-1.00%)","1,784.0","109,181"
"3436","ＳＵＭＣＯ","東P","1154.0","+36.0(+3.22%)","1,154.0","404,102"
"3443","川田テクノロジーズ","東P","3140","+25.0(+0.80%)","3,140.0","55,842"
"3445","ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ","東P","3490","-140.0(-3.86%)","3,490.0","92,212"
"3446","ジェイテックコーポレーション","東P","1292","-48.0(-3.58%)","1,292.0","7,611"
"3457","Ａｎｄ　ＤｏＨＬＤＧ","東P","1203","-2.0(-0.17%)","1,203.0","23,948"
"3458","シーアールイー","東P","1698","+2.0(+0.12%)","1,698.0","49,922"
"3465","ケイアイスター不動産","東P","4625","-10.0(-0.22%)","4,625.0","73,367"
"3475","グッドコムアセット","東P","873","+17.0(+1.99%)","873.0","26,653"
"3480","ジェイ・エス・ビー","東P","3165","+5.0(+0.16%)","3,165.0","69,362"
"3482","ロードスターキャピタル","東P","2527","-21.0(-0.82%)","2,527.0","54,189"
"3484","イノベーションＨＬＤＧ","東P","967","-4.0(-0.41%)","967.0","17,091"
"3486","グローバル・リンク・マネジメン","東P","3615","+125.0(+3.58%)","3,615.0","28,942"
"3498","霞ヶ関キャピタル","東P","14940","-50.0(-0.33%)","14,940.0","147,409"
"3501","ＳＵＭＩＮＯＥ","東P","2240","-1.0(-0.04%)","2,240.0","17,208"
"3539","ＪＭ　ＨＬＤＧ","東P","2300","-82.0(-3.44%)","2,300.0","58,603"
"3543","コメダＨＬＤＧ","東P","2710","-12.0(-0.44%)","2,710.0","125,367"
"3546","アレンザＨＬＤＧ","東P","1104","+0.0(+0.00%)","1,104.0","33,334"
"3548","バロックジャパンリミテッド","東P","775","-2.0(-0.26%)","775.0","28,424"
"3549","クスリのアオキＨＬＤＧ","東P","3161.0","-32.0(-1.00%)","3,161.0","332,214"
"3561","力の源ＨＬＤＧ","東P","1389","+21.0(+1.54%)","1,389.0","42,098"
"3563","ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭ","東P","4255.0","+35.0(+0.83%)","4,255.0","493,874"
"3569","セーレン","東P","2668","-40.0(-1.48%)","2,668.0","172,443"
"3580","小松マテーレ","東P","801","-9.0(-1.11%)","801.0","34,556"
"3591","ワコールＨＬＤＧ","東P","5195.0","+32.0(+0.62%)","5,195.0","288,322"
"3593","ホギメディカル","東P","4860","+5.0(+0.10%)","4,860.0","109,522"
"3608","ＴＳＩ　ＨＬＤＧ","東P","1266","+1.0(+0.08%)","1,266.0","97,408"
